EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,si_dt,fn_dt,si_mod_dt,diff_sec,Anomaly_Time,Anomaly_Zero,Chronos_Score
38418,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Collections.Specialized.dll,.dll,21224,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7218209,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7218209,2025-12-21 10:30:42.4112721,48395088,2435334395,1572,,,,2024-04-01T16:38:46.356270,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.356270,-54323516,TIMESTOMP_BACKDATE,"",80
38419,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.ComponentModel.dll,.dll,21192,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7243262,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7243262,2025-12-21 10:30:42.4112721,48395440,2435334562,1572,,,,2024-04-01T16:38:46.356270,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.356270,-54323516,TIMESTOMP_BACKDATE,"",80
38420,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.ComponentModel.EventBasedAsync.dll,.dll,21768,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7268518,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7268518,2025-12-21 10:30:42.4112721,48395840,2435334744,1572,,,,2024-04-01T16:38:46.371900,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.371900,-54323516,TIMESTOMP_BACKDATE,"",80
38421,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.ComponentModel.Primitives.dll,.dll,21752,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7310469,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7293850,2025-12-21 10:30:42.4112721,48396256,2435334916,1572,,,,2024-04-01T16:38:46.371900,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.371900,-54323516,TIMESTOMP_BACKDATE,"",80
38422,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.ComponentModel.TypeConverter.dll,.dll,22784,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7336502,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7310469,2025-12-21 10:30:42.4112721,48396680,2435335087,1572,,,,2024-04-01T16:38:46.371900,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.371900,-54323516,TIMESTOMP_BACKDATE,"",80
38423,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Console.dll,.dll,21160,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7357957,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7357957,2025-12-21 10:30:42.4112721,48397016,2435335262,1572,,,,2024-04-01T16:38:46.371900,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.371900,-54323516,TIMESTOMP_BACKDATE,"",80
38429,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Diagnostics.Contracts.dll,.dll,21736,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4157817,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7432893,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7407110,2025-12-21 10:30:42.4157817,48397680,2435335590,1572,,,,2024-04-01T16:38:46.371900,2025-12-21T10:30:42.415781,2024-04-01T16:38:46.371900,-54323516,TIMESTOMP_BACKDATE,"",80
38431,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Diagnostics.Debug.dll,.dll,21208,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4157817,2024-04-01 16:38:46.3719000,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7459031,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7432893,2025-12-21 10:30:42.4157817,48398048,2435335766,1572,,,,2024-04-01T16:38:46.371900,2025-12-21T10:30:42.415781,2024-04-01T16:38:46.371900,-54323516,TIMESTOMP_BACKDATE,"",80
38432,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Diagnostics.FileVersionInfo.dll,.dll,21248,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4157817,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7474011,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7474011,2025-12-21 10:30:42.4157817,48398472,2435335935,1572,,,,2024-04-01T16:38:46.387506,2025-12-21T10:30:42.415781,2024-04-01T16:38:46.387506,-54323516,TIMESTOMP_BACKDATE,"",80
38433,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Diagnostics.Process.dll,.dll,21728,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4157817,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7500562,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7500562,2025-12-21 10:30:42.4157817,48398848,2435336104,1572,,,,2024-04-01T16:38:46.387506,2025-12-21T10:30:42.415781,2024-04-01T16:38:46.387506,-54323516,TIMESTOMP_BACKDATE,"",80
38434,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Diagnostics.StackTrace.dll,.dll,23936,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4157817,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7524847,2025-12-21 10:30:42.4157817,2025-12-21 10:37:14.7524847,2025-12-21 10:30:42.4157817,48399224,2435336280,1572,,,,2024-04-01T16:38:46.387506,2025-12-21T10:30:42.415781,2024-04-01T16:38:46.387506,-54323516,TIMESTOMP_BACKDATE,"",80
38435,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Diagnostics.TextWriterTraceListener.dll,.dll,21280,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4179443,2024-04-01 16:38:46.3875069,2025-12-21 10:30:42.4179443,2025-12-21 10:37:14.7572208,2025-12-21 10:30:42.4179443,2025-12-21 10:37:14.7550142,2025-12-21 10:30:42.4179443,48399656,2435336501,1572,,,,2024-04-01T16:38:46.387506,2025-12-21T10:30:42.417944,2024-04-01T16:38:46.387506,-54323516,TIMESTOMP_BACKDATE,"",80
